calldate,clid,src,dst,dcontext,channel,dstchannel,lastapp,lastdata,duration,billsec,disposition,amaflags,accountcode,uniqueid,userfield
"2017-04-10 17:57:42","""device"" <9701>",9701,s,macro-dial,PJSIP/9701-00000003,Local/9728@from-internal-xfer-00000000;1,ExecIf,0?Set(MASTER_CHANNEL(CONNECTEDLINE(name))=),25,25,ANSWERED,3,,1491846992.3,
"2017-04-10 17:57:42","""ID - Luiz Mariath"" <9706>",9706,9728,followme-check,Local/9728@from-internal-xfer-00000000;2,PJSIP/9728-00000004,Dial,"PJSIP/9728/sip:9728@191.39.64.137:47240;rinstance=897f569fd9ee6034,22,TtrwWIM(a",26,20,ANSWERED,3,,1491847062.5,
"2017-04-10 17:56:31","""ID - Luiz Mariath"" <9706>",9706,9701,followme-check,PJSIP/9706-00000002,PJSIP/9701-00000003,Dial,"PJSIP/9701/sip:9701@201.76.190.110:54654;rinstance=40198d350fa5c095,22,TtrwWIM(",70,66,ANSWERED,3,,1491846991.2,
"2017-04-07 17:42:12","""ID - Alexandre Paes"" <9701>",9701,9706,followme-check,PJSIP/9701-00000000,PJSIP/9706-00000001,Dial,"PJSIP/9706/sip:9706@201.76.190.110:46849;rinstance=a3c18cc1d69ff7c4,22,TtrIM(au",35,30,ANSWERED,3,,1491586932.0,
"2017-04-06 17:43:29","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-00000021,PJSIP/9728-00000022,Dial,"PJSIP/9728/sip:9728@191.39.88.168:21897;rinstance=ad459aa094bf2156,,TtrIb(func-",2,0,"NO ANSWER",3,,1491500609.33,
"2017-04-06 17:41:09","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-0000001f,PJSIP/9728-00000020,Dial,"PJSIP/9728/sip:9728@191.39.88.168:21897;rinstance=ad459aa094bf2156,,TtrIb(func-",30,19,ANSWERED,3,,1491500469.31,
"2017-04-06 17:40:39","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-0000001d,PJSIP/9736-0000001e,Dial,"PJSIP/9736/sip:9736@177.17.122.29:47077;ob,,TtrIb(func-apply-sipheaders^s^1)",18,15,ANSWERED,3,,1491500439.29,
"2017-04-06 17:39:10","""Adauto Serpa"" <9736>",9736,9715,ext-local,PJSIP/9736-00000019,PJSIP/9715-0000001a,Dial,"PJSIP/9715/sip:9715@177.17.122.29:38660;rinstance=4e09c4de7ea7fa53,,TtrIb(func-",38,35,ANSWERED,3,,1491500350.25,
"2017-04-06 17:38:51","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000018,,Wait,1,11,11,ANSWERED,3,,1491500331.24,
"2017-04-06 17:29:59","""Adauto Serpa"" <9736>",9736,9715,ext-local,PJSIP/9736-00000016,PJSIP/9715-00000017,Dial,"PJSIP/9715/sip:9715@177.17.122.29:38660;rinstance=4e09c4de7ea7fa53,,TtrIb(func-",41,37,ANSWERED,3,,1491499799.22,
"2017-04-06 17:27:41","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-00000010,PJSIP/9728-00000011,Dial,"PJSIP/9728/sip:9728@191.39.88.168:21897;rinstance=ad459aa094bf2156,,TtrIb(func-",36,30,ANSWERED,3,,1491499661.16,
"2017-04-06 17:22:55","""Adauto Serpa"" <9736>",9736,9715,ext-local,PJSIP/9736-0000000e,PJSIP/9715-0000000f,Dial,"PJSIP/9715/sip:9715@177.17.122.29:38660;rinstance=4e09c4de7ea7fa53,,TtrIb(func-",32,30,ANSWERED,3,,1491499375.14,
"2017-04-06 17:22:01","""Adauto Serpa"" <9736>",9736,9715,ext-local,PJSIP/9736-0000000c,PJSIP/9715-0000000d,Dial,"PJSIP/9715/sip:9715@189.40.67.45:46092;rinstance=d8436c611b55c84c,,TtrIb(func-a",36,27,ANSWERED,3,,1491499321.12,
"2017-04-06 17:20:17","""Raphael Santos"" <9728>",9728,9715,ext-local,PJSIP/9728-0000000a,PJSIP/9715-0000000b,Dial,"PJSIP/9715/sip:9715@189.40.67.45:46092;rinstance=d8436c611b55c84c,,TtrIb(func-a",30,15,ANSWERED,3,,1491499217.10,
"2017-04-06 17:16:29","""Adauto Serpa"" <9736>",9736,9728,from-internal,PJSIP/9736-00000008,PJSIP/9728-00000009,Dial,"PJSIP/9728/sip:9728@191.39.88.168:21897;rinstance=8e2261b34f56ed19,,TtrIb(func-",24,21,ANSWERED,3,,1491498989.8,
"2017-04-06 17:16:22","""Luiz Mariath"" <9707>",9707,en,app-speakextennum,PJSIP/9707-00000007,,Wait,2,10,10,ANSWERED,3,,1491498982.7,
"2017-04-06 17:16:08","""Adauto Serpa"" <9736>",9736,en,app-speakextennum,PJSIP/9736-00000006,,Hangup,,10,10,ANSWERED,3,,1491498968.6,
"2017-04-06 17:15:36","""Adauto Serpa"" <9736>",9736,9707,from-internal,PJSIP/9736-00000004,PJSIP/9707-00000005,Dial,"PJSIP/9707/sip:9707@201.76.190.110:46849;rinstance=542c79e20f67d152,,TtrIb(func",23,19,ANSWERED,3,,1491498936.4,
"2017-04-06 17:14:55","""Luiz Mariath"" <9707>",9707,9728,from-internal,PJSIP/9707-00000002,PJSIP/9728-00000003,Dial,"PJSIP/9728/sip:9728@191.39.88.168:21897;rinstance=8e2261b34f56ed19,,TtrIb(func-",30,27,ANSWERED,3,,1491498895.2,
"2017-04-06 17:13:48","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-00000000,PJSIP/9736-00000001,Dial,"PJSIP/9736/sip:9736@177.17.122.29:48436;ob,,TtrIb(func-apply-sipheaders^s^1)",49,14,ANSWERED,3,,1491498828.0,
"2017-04-05 13:09:47","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000023,,Wait,5,14,14,ANSWERED,3,,1491397787.35,
"2017-04-05 13:09:08","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000022,,Wait,1,31,31,ANSWERED,3,,1491397748.34,
"2017-04-05 13:07:42","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000021,,Wait,1,33,33,ANSWERED,3,,1491397662.33,
"2017-04-05 13:03:44","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000020,,Wait,1,11,10,ANSWERED,3,,1491397424.32,
"2017-04-05 13:03:13","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-0000001f,,Wait,5,22,22,ANSWERED,3,,1491397393.31,
"2017-04-05 13:02:54","""Adauto Serpa"" <9736>",9736,en,app-speakextennum,PJSIP/9736-0000001e,,Hangup,,10,10,ANSWERED,3,,1491397374.30,
"2017-04-05 03:01:58","""Adauto Serpa"" <9736>",9736,en,app-speakextennum,PJSIP/9736-0000001d,,Hangup,,10,10,ANSWERED,3,,1491361318.29,
"2017-04-05 03:00:50","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-0000001c,,Wait,5,63,63,ANSWERED,3,,1491361250.28,
"2017-04-05 03:00:29","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-0000001b,,Wait,5,13,13,ANSWERED,3,,1491361229.27,
"2017-04-05 02:54:16","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-0000001a,,Wait,5,18,17,ANSWERED,3,,1491360856.26,
"2017-04-05 02:52:56","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000019,,Wait,1,33,33,ANSWERED,3,,1491360776.25,
"2017-04-05 02:52:13","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000018,,Wait,1,33,33,ANSWERED,3,,1491360733.24,
"2017-04-05 02:41:37","""Adauto Serpa"" <9736>",9736,*60,from-internal,PJSIP/9736-00000017,,Wait,1,27,27,ANSWERED,3,,1491360097.23,
"2017-04-05 02:41:14","""Adauto Serpa"" <9736>",9736,en,app-speakextennum,PJSIP/9736-00000016,,Hangup,,10,10,ANSWERED,3,,1491360074.22,
"2017-04-04 20:42:51","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-00000014,PJSIP/9736-00000015,Dial,"PJSIP/9736/sip:9736@201.5.221.185:20362;rinstance=706d4894ef5b3bea,,TtrIb(func-",19,17,ANSWERED,3,,1491338571.20,
"2017-04-04 20:41:41","""Raphael Santos"" <9728>",9728,9736,from-internal,PJSIP/9728-00000012,PJSIP/9736-00000013,Dial,"PJSIP/9736/sip:9736@201.5.221.185:27221;ob,,TtrIb(func-apply-sipheaders^s^1)",16,14,ANSWERED,3,,1491338501.18,
"2017-04-04 20:41:08","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-00000010,PJSIP/9736-00000011,Dial,"PJSIP/9736/sip:9736@201.5.221.185:27221;ob,,TtrIb(func-apply-sipheaders^s^1)",26,23,ANSWERED,3,,1491338468.16,
"2017-04-04 20:40:43","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-0000000e,PJSIP/9736-0000000f,Dial,"PJSIP/9736/sip:9736@201.5.221.185:27221;ob,,TtrIb(func-apply-sipheaders^s^1)",9,7,ANSWERED,3,,1491338443.14,
"2017-04-04 20:39:32","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-0000000c,PJSIP/9736-0000000d,Dial,"PJSIP/9736/sip:9736@179.177.34.141:40248;ob,,TtrIb(func-apply-sipheaders^s^1)",8,0,"NO ANSWER",3,,1491338372.12,
"2017-04-04 20:38:29","""Luiz Mariath"" <9707>",9707,9736,from-internal,PJSIP/9707-0000000a,PJSIP/9736-0000000b,Dial,"PJSIP/9736/sip:9736@179.177.34.141:40248;ob,,TtrIb(func-apply-sipheaders^s^1)",30,0,"NO ANSWER",3,,1491338309.10,
"2017-04-04 20:38:03","""Luiz Mariath"" <9707>",9707,9728,from-internal,PJSIP/9707-00000008,PJSIP/9728-00000009,Dial,"PJSIP/9728/sip:9728@191.39.85.61:43058;rinstance=cd11d91e196d723c,,TtrIb(func-a",13,11,ANSWERED,3,,1491338283.8,
